context,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#小播天气报#早上好!鹤壁市今天白天到夜里阴有大雨,局部暴雨,偏北风4级,25度到22度.降雨道路湿滑,路面积水较多,外出记得携带雨具,注意交通安全",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#暴雨中的力量#7月20日，开封出现强降雨，多条路段出现大量积水，交警七大队的执勤民辅警们已经站在辖区各大路口指挥疏导交通。由于正处于早高峰时段，路段车辆逐渐增多，为了防止造成道路交通拥堵，大队在辖区主要街道，特别是在上、下班高峰期及周边重要路段，增派警力加强道路交通指挥疏导；及时对车辆进行分流和疏导，引导车辆有序通行；快速处理交通事故，排除路面隐患，防止发生交通拥堵。@开封交警,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南继续发布暴雨红色预警#河南省气象台2021年07月20日09时00分继续发布暴雨红色预警：目前，郑州、开封、新乡三地区和焦作地区东部及洛阳地区北部部分地区降水量已达50毫米以上，预计未来3小时内，上述地区降水持续，累积降水量将达100毫米以上。请注意防范。O网页链接,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【焦作交警：暴雨中通宵值守保安全】7月19日晚至20日凌晨，焦作全市持续降雨，部分地方出现大到暴雨。为保障市民的出行安全，焦作交警通宵达旦，坚守一线，在重点道路、桥梁、涵洞、高速公路值守巡逻，第一时间对影响安全通行的路段实施临时交通管制，提醒市民注意出行安全。@焦作交警,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"暴雨红色预警信号手机全网发布气象灾害预警信号2021年第127号
签发：刘忠阳
开封市气象台7月20日8时55分发布暴雨红色预警信号：预计未来3小时祥符区降水量将出现100毫米以上或1小时降雨量将达70毫米以上，且降雨可能持续。请有关单位和人员作好防范准备。

防御指南：
1.政府及相关部门按照职责做好防暴雨应急和抢险工作；
2.停止集会，停课、停业(除特殊行业外)；
3.做好山洪、滑坡、泥石流等灾害的防御和抢险工作。
开封市气象台
签发：刘忠阳制作：姜东东
2021年7月20日8时55分",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【持续强降雨致河南多条铁路线区间封锁或限速运行】#暴雨天出行应注意的事#
7月20日，大河网记者从中国铁路郑州局集团公司获悉，受持续强降雨影响，中国铁路郑州局集团公司管内普速陇海线、焦柳线、宁西线及京广线部分区段封锁或限速运行，影响途经列车不同程度晚点。目前，铁路部门已启动极端天气应急预案，加强对设备、线路的检查维修，确保旅客、列车和铁路安全。#河南雨下得有多大#
请出行旅客注意站车公告或致电12306客服热线查询，妥善安排出行。（记者祝传鹏）O持续强降雨致河南多条铁路线区间封锁或限速运行铁路部门全力应对确保运输安全",,,,,,,,,,,,,,,,,,,,,,,,,,,,
《天气预警|19-21日河南持续强降雨外出行车切记减速慢行》据省气象台预报，19-21日我省大部持续强降水，最强时段为19-20日，其中，中西部、北部有暴雨局部大暴雨、特大暴雨，21日京广线以西有大到暴雨，局部大暴雨。河南高速交警在全力保通的同时提示广大驾驶员朋友：请及时关注天气变化和路况提示，雨天路面湿滑，驾车出行时切记降速、控距、亮尾（雨天小车车速90、大车车速70更安全）#文明交通·安全伴您行##平安中原·高速交警##我为群众办实事#O天气预警|19-21日河南持续强降雨外出行车切记减速慢行,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【暴雨、雷电、大风！今晨#河南连发50条气象预警#】连日降雨，省气象局及相关地市气象部门启动重大气象灾害（暴雨）Ⅲ级应急响应。

省气象台预报，今天，全省有小到中阵雨、雷阵雨，中西部和北部部分地区有大到暴雨，局部大暴雨或特大暴雨并伴有短时强降水、短时大风等强对流天气。21日，全省有阵雨、雷阵雨，其中中西部、北部有中到大雨，局部暴雨并伴有短时强降水、短时大风等强对流天气。

河南连发超50条气象预警

今日凌晨，河南已连发50条气象预警。

太康县气象局2021年7月20日06时29分继续发布雷电黄色预警信号：预计未来6小时内，我县仍将发生雷电活动，局地伴有短时强降水、短时大风等强对流天气，请注意防范。

方城县气象局2021年7月20日05时20分继续发布雷电黄色预警信号：预计未来6小时内，方城县部分地区有雷电活动，局部伴有7级以上短时大风、1小时20到40毫米的短时强降水等强对流天气。请注意防范。

郑州市气象台2021年07月20日04时16分继续发布暴雨橙色预警信号：预计未来3小时内,郑州市区及所辖六县（市）降雨量将达50毫米以上，局部达100毫米以上，请注意防范。

登封市气象局2021年07月20日02时22分继续发布雷电黄色预警信号：预计未来6小时内，登封市将发生较强雷电活动，并伴小时雨强30到40毫米的短时强降水，8级左右短时大风，请注意防范。

……

我省已启动水旱灾害防御Ⅳ级应急响应

记者昨日从省水利厅获悉，自7月19日12时起，我省已启动水旱灾害防御Ⅳ级应急响应。

目前全省已经有13座大中型水库超汛限水位，部分山区河道已发生山洪灾害。随着降雨的持续，我省部分河道可能超过警戒水位，一些山区河道可能出现严重的山洪灾害。

林州市河水暴涨

省水利厅要求,各有关单位严格按照防汛战时机制和省防汛抗旱指挥部1号指挥长令要求，将防汛工作作为当前第一要务,加强水工程调度、山洪灾害防御、堤防巡查和抢险技术支撑。

省水利厅、省气象局联合发布山洪灾害预警：7月19日晚间至21日，受强降雨影响，洛阳、平顶山、安阳、鹤壁、新乡、焦作、三门峡、南阳、驻马店、济源等山区可能发生山洪灾害，请注意避险防范。

新郑机场100多个航班延误

7月19日下午，郑州再遇强降雨天气，记者通过“飞常准”APP查询获悉，16时47分，郑州机场大面积延误，目前延误30分钟至1小时的有22架，1小时至2小时的有26架，2小时以上的有10架，取消航班多达44架，多达102架航班处于“不正常”状态。需要提醒的是，目前航班状态随时在变动。

据了解，目前涉及延误或取消的航班较多，涉及福州、深圳、贵阳、温州、昆明、厦门等航班，其中进港延误航班较多。#全国降水榜前10全部来自河南#(正观新闻)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南应急提醒##河南暴雨#【暴雨黄色预警继续!河南省防汛办、省应急厅提醒注意安全防范】河南省气象台7月20日07时50分继续发布暴雨黄色预警:预计未来6小时内,黄河以北和洛阳、郑州、开封、平顶山、许昌、漯河六地区和南阳、驻马店、三门峡三地区北部部分地区降水量将达50毫米以上,局部达100毫米以上。河南省防汛办、省应急厅提醒注意安全防范。O暴雨黄色预警继续!河南省防汛办、省应急厅提醒注意安全防范#郑州暴雨#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
两张图告诉你，#河南暴雨#有多暴：1，今早8点实时，#全国降水量前十河南占8席#；2，24小时降水量，全国前十、河南占了7席……,,,,,,,,,,,,,,,,,,,,,,,,,,,,
