,id,username,context,time,source,href,judge
2,2158695587,一个人de日子啊,#分享河南暴雨中可爱的平凡人#要克服对死亡的恐惧，你必须要接受世上所有的人，都会死去的观念。,07月24日 22:59,搜狗高速浏览器,https://weibo.com/2158695587?refer_flag=1001030103_,假
3,2451949553,驻马店消防,豫见火焰蓝#新乡# 7月24日下午18时30分，@新乡消防 红旗消防大队在印染厂家属院群众进行疏散转移时遇到2名九十多岁老人不愿离开，大队长闫志刚对两名老人进行耐心劝说，劝说效果显著，在转移时承诺老人#一滴水都不会让你沾# 。#分享河南暴雨中可爱的平凡人##与你携手 共渡危难#@中国消防 L河南消防的微博视频 ,07月24日 22:57,豫见火焰蓝超话,https://weibo.com/2451949553?refer_flag=1001030103_,假
4,7270276711,海南临高消防,#上海虹桥机场出港航班大面积取消# 【台风安全指南】我国台风主要发生在夏秋季节，常伴随大风暴雨雷电。风力较强时，有可能引发人员受伤、房屋倒塌等危险，面对台风天气，我们要做好应对准备。#科普消防说##全民素养提升V计划# @上海消防,07月24日 22:59,iPhone客户端,https://weibo.com/7270276711?refer_flag=1001030103_,假
9,7555302556,玄月玖伍,"目前仍有物资缺乏！！！！！！！！！这是官方求助！！！！！！！！！！
#河南暴雨互助##河南一定行#
我是战博临时线上反馈队@永恒定律·战山为王 电联组长 念一
我们收到了一条求助信息。
信息如下。
救援地址：河南省鹤壁市淇县。淇县接收社会捐助物品统一接收地点:中美物流园(河南康讯医药有限公司)
地址:人民路泰山路交叉口
联系电话：
联系人：孙树军13939201559
联系人：张茜13939230130
联系人：介保栋15033886569
联系人：孟红伟13903924577
联系人：赵东东18739227955
联系人：耿然然15239285683
联系人：高莹15346273698
联系人：李向红17739256338
联系人：刘枚菊13939298199
联系人：裴爱荣13839206943
救援人数：3万人。
救援需求：缺叉车10台，钩机50台，铲车50台，大功率发电机100台，水泵100台，电脑，打印机，米面油，消毒液，雨靴，雨伞，雨衣，帐篷
最后核实时间：2021.7.26 上午8点36分 ",07月24日 14:26,Redmi Note 7 Pro,https://weibo.com/7555302556?refer_flag=1001030103_,假
10,3948506025,江晚渡月,//@吾蕊-:#河南暴雨救援# 一定要平安阿！,07月22日 21:30,iPhone客户端,https://weibo.com/3948506025?refer_flag=1001030103_,假
11,5380951985,CchengJiaYuE,"最近意想不到的灾情一直在发生 ，郑州水灾、南京又起疫情、浙江马上登陆的台风、各地纷纷报出来的暴雨，四川时不时的地震，晚上吃饭我姐说“害怕了，都想回家了”…
我笑了一下，这句话听起来我不知道是心酸还是害怕，就像前天晚上的暴雷吓的窗子都不敢去关是一样的感觉😔 2宜宾·紫金城",07月24日 22:59,HUAWEI P30 Pro,https://weibo.com/5380951985?refer_flag=1001030103_,假
12,6374681198,某某的嚣张,//@_麟九_://@Nana_7橙桑:【寻人】❗❗❗❗//@半熟·芝士:#河南暴雨互助# 寻人！！！,07月22日 23:45,荣耀10 AI变色更潮美,https://weibo.com/6374681198?refer_flag=1001030103_,假
13,5938548622,玐玐keyo,【#1041寻人# 郑州张镇东在暴雨中失联，家人都在等他回家】寻找失联人员：张镇东，男，32岁，身穿白色短袖黑色短裤。于7月21号早上6点多离开商务外环路众意路交叉口的路劲大厦预计准备前往家住地址经三路农科路交叉口的金城国际广场，在7月21号晚7点多与家人联系后一直处于失联状态。望有线索的好心人联系张国富：13939685393。（5G现场记者 郝帅） ,07月24日 15:21,微博 weibo.com,https://weibo.com/5938548622?refer_flag=1001030103_,真
14,2258833123,北京消防,【别怕，我们来了！】7月24日，北京市消防救援总队通州支队3搜救援艇，22名指战员执行救援任务，新乡市牧野区韩社区3000名居民等待救援！@北京通州消防 @河南消防 @中国消防 #河南暴雨消防急救援##暴雨中的橙色力量# L北京消防的微博视频,07月24日 22:59,微博视频号,https://weibo.com/2258833123?refer_flag=1001030103_,真
15,2550998443,-吉祥天女-,"#河南暴雨##杭州机场取消90%以上航班# 师傅身体力行支援灾区人民去了，人家在救苦救难的时候，我却还在各种计较得失……

祈祷灾情快点过去
祈祷师傅平安归来
🙏🏻 🙏🏻 🙏🏻",07月24日 22:59,Note 9,https://weibo.com/2550998443?refer_flag=1001030103_,假
